url,title,description,price,seller,rating
https://www.newegg.com/p/1W7-00T2-01VF2,2400w High Efficient 2500W Mining Psu 2500W Power Supply Antminer Psu Computer Power Supply Gpu Server Psu 10x6pin Cable,2400w High Efficient 2500W Mining Psu 2500W Power Supply Antminer Psu Computer Power Supply Gpu Server Psu 10x6pin Cable,207.22,Newegg,0
https://www.newegg.com/p/23B-0002-01411,"SAMSUNG Galaxy S22 Ultra Smartphone, Factory Unlocked Android Cell Phone, 256GB, 8K Camera & Video, Brightest Display, S Pen, Long Battery Life, Fast 4nm Processor, US Version, Green SM-S908UZGEXAA","Model Name	S22 Ultra | Wireless Carrier	Unlocked for All Carriers | Brand	SAMSUNG | Form Factor	Smartphone | Memory Storage Capacity	12 GB | Operating System	Android | Color	Green | Cellular Technology	5G, 4G LTE | Year	2022 | Included Components	USB Cable",425.00,GM DEALS,0
https://www.newegg.com/msi-pro-b550m-vc-wifi-matx-amd-motherboard-amd-b550-am4/p/N82E16813144548,MSI PRO PRO B550M-VC WIFI AM4 MATX AMD Motherboard,"Supports AMD Ryzen™  5000 Series, 5000 G-Series, 4000 GSeries, and 3000 Series processors  Supports AM4 socket 3rd Gen AMD Ryzen™ processors, and future AMD Ryzen™ processors with BIOS update | 4x DDR4 memory slots, support up to 128GB 1 | Supports DDR4 1866/ 2133/ 2400/ 2667/ 2800/ 2933/ 3000/ 3066/ 3200 MHz by JEDEC | Supports DDR4 2667/ 2800 /2933 /3000 /3066 /3200 /3466 /3600/ 3733 /3866 /4000 /4133 /4266 /4400+ MHz by A-XMP OC MODE | Lightning Gen4 Solution | M.2 Shield FROZR | PCI-E Steel Armor: Protecting VGA cards against bending and EMI | Core Boost | EZ Debug LED: Easiest way to troubleshoot. | Frozr AI Cooling: Detect CPU & GPU temperatures and automatically adjust system fan duty to a proper value. | Audio Boost: Reward your ears with studio grade sound quality for the most immersive audio experience.",101.98,Newegg,4.2
https://www.newegg.com/sk-hynix-1tb-platinum-p41/p/0D9-003U-00ME4,"SK hynix Platinum P41 M2 SSD 1TB, M.2 2280 NVME PCIe Gen4.0 Internal SSD  l Up to 7,000MB/S l with 176-Layer NAND Flash","Top-tier performance  Read speeds up to 7,000 MB/s and write speeds of up to 6,500 MB/s with proprietary SK hynix HYPERWRITE cache technology | Pioneering power efficiency  next-tier power efficiency that keeps your system running smoother than ever | 5-year warranty, superior reliability and stability  Tested and validated through 1,000 hours of HTOL (Stress Test) with MTBF reaching 1.5 million hours, up to 1,200 TBW (TeraBytes Written) | Premium SSD powered by the global top-tier memory manufacturer, a tech leader since 1983 | Easy installation across multiple devices, pairing with our custom SK hynix edition Macrium cloning software",80.98,Newegg,4.3
https://www.newegg.com/western-digital-1tb-black-sn850x-nvme/p/N82E16820250245,"WD_BLACK 1TB SN850X NVMe Internal Gaming Solid State Drive with Heatsink - Works with Playstation 5, Gen4 PCIe, M.2 2280, Up to 7,300 MB/s - WDS100T2XHE","TRANSFORM YOUR PC.  Get top-tier performance and ridiculously short load times for your gaming PC or workstation with insane speeds up to 7,300 MB/s (1TB – 4TB models). | MORE ROOM, MORE GAMES. Capacities up to 8TB built with Western Digital® TLC 3D NAND, means you get to download more games — and stop deleting your favorites. | HEATSINK FOR THE WIN. All capacities have an optional heatsink version to help maintain peak performance through your most intense gaming sessions. | DO MORE WITH DASHBOARD. The downloadable WD_BLACK™ Dashboard (Windows® only) monitors your drive’s health, lets you customize your RGB lighting (heatsink versions only), and can automatically detect games to turn on Game Mode 2.0. | FUTURE-FORWARD FEATURES.  The WD_BLACK™ SN850X boasts a powerful suite of features, including Predictive Loading, Overhead Balancing, and Adaptive Thermal Management (ATM).",104.99,Newegg,4.8
https://www.newegg.com/msi-mag-b550m-mortar-max-wifi-motherboards-amd-amd-b550-am4/p/2MG-000M-004V6,MSI AM4 AMD Micro ATX Motherboard MAG B550M MORTAR AM4 Micro ATX AMD Motherboard,AMD B550 | Supports AMD Ryzen 5000 / 3000 Series processors | Supports AMD Ryzen 4000 G-Series processors | * Not compatible with AMD Ryzen 5 3400G & Ryzen 3 3200G. | DDR4 4400+ / 4266 / 4133 / 4000 / 3866 / 3733 / 3600 / 3466 / 3200 / 3066 / 3000 / 2933 / 2800 / 2667 by A-XMP OC MODE | DDR4 3200 / 3066 / 3000 / 2933 / 2800 / 2667 / 2400 / 2133 / 1866 by JEDEC | 1DPC 1R max speed 4400 | 1DPC 2R max speed 3733 | 2DPC 1R max speed 3866 | 2DPC 2R max speed 3466,170.55,Volcanic electron,4.2
https://www.newegg.com/hp-elitebook-13-3-non-touch-screen-intel-core-i7-10610u-intel-uhd-graphics-32gb-memory-256-gb-ssd/p/N82E16834818182,"HP EliteBook 830 G7 Laptop Intel Core i7-10610U 32GB Memory 256 GB SSD Intel UHD Graphics 13.3"" FHD Windows 11 Pro","Intel Core i7-10610U | 32GB Memory 256 GB SSD | Intel UHD Graphics | 13.3"" FHD (1920 x 1080) | Windows 11 Pro",279.99,Newegg,4.5
https://www.newegg.com/gigabyte-z890-aorus-master-atx-motherboards-intel-intel-z890-lga-1851/p/N82E16813145523,"GIGABYTE Z890 AORUS MASTER Ultra Core (Series 2) LGA 1851, ATX, DDR5, 5x M.2, PCIe 5.0, Thunderbolt 4, WIFI7, 10GbE LAN, EZ-Latch","Supports Intel Core Ultra Processors (Series 2) | DDR5 Compatible: 4*DIMMs with XMP Memory Module Support | Power Design: 18+1+2, 110A Smart Power Stage | Thermals: VRM Thermal Armor and M.2 Thermal Guard | Connectivity: PCIe 5.0, 5x M.2 Slots, Dual Thunderbolt 4, Front USB-C, Sensor | Panel Link | DIY Friendly: M.2 EZ-Latch, PCIe EZ-Latch, WIFI EZ-Plug, EZ-Debug Zone | Networking: WIFI7, 10GbE LAN""",499.99,Newegg,4
https://www.newegg.com/p/2VH-02N1-005H9,AC 110V-220v ATX Pc 2000W Power Supply 8 Graphics Card Ethereum ETH BTC Mining Antminer PSU for US CA MX BR JP Voltage,"-Name:Mine Chassis Power Supply | -INPUT AC110V= OUTPUT 1500w | -INPUT AC220V= OUTPUT 2000W | -18 AWG copper output line, the output interface is rich. | -This professional switching power supply is designed for mining machine with efficiency and conv",638.99,Newegg,0
https://www.newegg.com/p/3D5-0007-00J50,iBUYPOWER Y40 PRO Black Gaming PC Desktop - Intel Core i7 14700KF - NVIDIA GeForce RTX 5070 12GB - 32GB DDR5 RGB - 1TB NVMe SSD - Y40BI7N5702,Intel Core i7 14700KF | NVIDIA GeForce RTX 5070 12GB | 32GB DDR5 RGB | 1TB NVMe SSD | WIFI Build-In | Windows 11 Home | Gaming Keyboard & Mouse Included | 1 Year Parts + 1 Year Labor Warranty,1699.99,Newegg,4.7
https://www.newegg.com/msi-mpg-z890i-edge-ti-wifi-mini-itx-motherboard-intel-z890-lga-1851/p/N82E16813144681,MSI MPG Z890I EDGE TI WIFI LGA 1851 Mini ITX Motherboard,Premium Thermal Design: Heavy plated MOSFET heatsink with heat-pipe / high quality. | EZ M.2 Shield Forzr II: The new tool-less design makes installing or removing your M.2 SSD and Shield Frozr much easier. | Lightning Gen 5: The latest PCIe 5.0 solution with up to 128GB/s bandwidth for maximum transfer speed. | Latest DDR5 Memory: A huge step of DDR performance enhancement with the latest DDR5 Memory. | Quadruple M.2 Connectors: Onboard quadruple M.2 connectors for the maximum storage performance. | 5G Network Solution: Featuring premium 5G LAN to deliver better network experience. | Wi-Fi 7: The latest wireless solution with a new 320MHz channel. | Audio Boost 5: Isolated audio with a high-quality audio processor.,299.99,Newegg,4.7
